sitetype,sitenum,latitude,longitude,call_sign,location_address,location_city,location_county,location_state,ground_elevation,height_of_support_structure,overall_height_of_structure,structure_type,licensee_entity_name,licensee_first_name,licensee_last_name,licensee_phone,licensee_fax,licensee_email,licensee_street_address,licensee_city,licensee_state,licensee_zip_code,licensee_po_box,licensee_attention_line,contact_entity_name,contact_first_name,contact_last_name,contact_phone,contact_fax,contact_email,contact_street_address,contact_city,contact_state,contact_zip_code,contact_po_box,contact_attention_line,emmitter_1_freqs_mhz,emmitter_2_freqs_mhz,emmitter_3_freqs_mhz,emmitter_4_freqs_mhz,emmitter_5_freqs_mhz
Multiple,1,37.3991666666667,-121.912777777778,WPXT446,1900 MCCARTHY BLVD,MILPITAS,SANTA CLARA,CA,11.3,62.9952,66.6043,Building,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334483,,12502 Sunrise Valley Drive,Reston,VA,20191    ,,,/852.5375,,,,
Multiple,1,37.3991111111111,-121.912888888889,WQTP793,1900 MCCARTHY BLVD,MILPITAS,SANTA CLARA,CA,11,58.7299,59.7142,Building,Wiline Spectrum Holdings LLC,,,6505252143,,spectrumadmin@wiline.com,1599 Industrial Rd,San Carlos,CA,94070    ,,RF Department,Wiline Spectrum Holdings LLC,RF,Admin,6505252143,,spectrumadmin@wiline.com,1599 Industrial Rd,San Carlos,CA,94070    ,,,/22425,,,,
Multiple,1,37.3991111111111,-121.912888888889,WQOS822,1900 McCarthy,Milpitas,SANTA CLARA,CA,10.6,59.7142,59.7142,Building,Wiline Networks Inc,,,6505239365,,spectruamdmin@wiline.com,1164 Triton Dr suite 201,San Mateo,CA,94404    ,,RF Department,Wiline Networks Inc,RF,Admin,6505239365,,spectrumadmin@wiline.com,1164 Triton Dr suite 201,San Mateo,CA,94404    ,,,/18115,,,,
Multiple,2,37.3905,-121.917722222222,WPPM999,535 BRENNAN STREET,SAN JOSE,SANTA CLARA,CA,9,101.711,101.711,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334142,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334142,,2001 EDMUND HALLEY DRIVE,Reston,VA,20191    ,,,/852.7125,,,,
Multiple,2,37.3905,-121.917722222222,WPPN200,535 BRENNAN STREET,SAN JOSE,SANTA CLARA,CA,9,101.711,101.711,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334142,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334142,,2001 EDMUND HALLEY DRIVE,Reston,VA,20191    ,,,/852.7125,,,,
Multiple,2,37.3905,-121.917722222222,WPPR616,535 BRENNAN STREET,SAN JOSE,SANTA CLARA,CA,9,101.711,101.711,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS VARESA0209,Reston,VA,20196    ,,,/858.8125/859.8125,,,,
Multiple,2,37.3905,-121.917722222222,WPPR617,535 BRENNAN STREET,SAN JOSE,SANTA CLARA,CA,9,101.711,101.711,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS VARESA0209,Reston,VA,20196    ,,,/858.8125/859.8125,,,,
Multiple,2,37.3902777777778,-121.9175,WQLY658,575 BRENNEN ST,San Jose,SANTA CLARA,CA,9.5,100.0705,100.0705,Tower,Clearwire Spectrum Holdings III LLC,,,7034334000,7034334483,,12502 Sunrise Valley Drive,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Corporation,Robin,Cohen,7034334000,7034334483,,12502 Sunrise Valley Drive,RESTON,VA,20196    ,,,/21925/22075,/21875/22025,,,
Multiple,3,37.393,-121.908277777778,WPPM731,2135 OTOOLE AVE,SAN JOSE,SANTA CLARA,CA,13,45.934,45.934,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334142,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334142,,2001 EDMUND HALLEY DRIVE,Reston,VA,20191    ,,,/852.7125,,,,
Multiple,3,37.393,-121.908277777778,WPPR589,2135 OTOOLE AVE,SAN JOSE,SANTA CLARA,CA,13,45.934,45.934,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS VARESA0209,Reston,VA,20196    ,,,/858.8125/859.8125,,,,
Multiple,4,37.4258333333333,-121.921111111111,WPYJ675,66 RANCH DRIVE,MILPITAS,SANTA CLARA,CA,63.1,92.5242,92.5242,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334483,,12502 Sunrise Valley Drive,Reston,VA,20191    ,,,/852.5375,,,,
Multiple,4,37.4256944444444,-121.921138888889,WQHE761,Milpitas Gas Control Station Alviso Rd  Hwy 237,Milpitas,SANTA CLARA,CA,6.1,89.8994,113.8507,Tower,Pacific Gas and Electric Company,,,5592635631,5592635899,fccdesk@pge.com,487 West Shaw Avenue Bldg B,Fresno,CA,93704    ,770000,FCC License Desk,Pacific Gas and Electric Company,Al,Badella,4159730188,4159738527,amb1@pge.com,Mail Code B22A,San Francisco,CA,94177    ,770000,,/6745.625,,,,
Multiple,5,37.3913055555556,-121.90525,WQPE620,,San Jose,SANTA CLARA,CA,14.3,27.8885,28.5447,Building,WiLine Spectrum Holdings LLC,,,6505259365,,,1164 Triton Drive,San Mateo,CA,94404    ,,Spectrum Admin,WiLine Spectrum Holdings LLC,,,6505259365,,,1164 Triton Drive,San Mateo,CA,94404    ,,,/3650,,,,
Multiple,5,37.3916111111111,-121.904944444444,WPPM755,1000 ROCK AVE,SAN JOSE,SANTA CLARA,CA,13,45.934,45.934,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334142,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334142,,2001 EDMUND HALLEY DRIVE,Reston,VA,20191    ,,,/852.7125,,,,
Multiple,5,37.3916111111111,-121.904944444444,WPPR623,1000 ROCK AVE,SAN JOSE,SANTA CLARA,CA,13,45.934,45.934,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS VARESA0209,Reston,VA,20196    ,,,/858.8125/859.8125,,,,
Multiple,5,37.3911944444444,-121.905166666667,WQNY269,1000 Rock Ave,San Jose,SANTA CLARA,CA,14.3,47.9026,47.9026,Building,WiLine Networks Inc,,,6505239365,6505259369,spectrumadmin@wiline.com,1164 Triton Dr suite 201,San Mateo,CA,94404    ,,Felix Gurule,WiLine Networks,Felix,Gurule,6505239365,6505259369,spectrumadmin@wiline.com,1164 Triton Dr suite 201,San Mateo,CA,94404    ,,,/22575,,,,
Multiple,6,37.4006666666667,-121.940638888889,WQVE969,3331 N 1st Street,San Jose,SANTA CLARA,CA,5,68.901,68.901,NA,Santa Clara Valley Transportation Authority,,,4089524111,,,3331 N First St,San Jose,CA,95134    ,,Richard Bertalan,Santa Clara Valley Transportation Authority,Robert,Gave,4089524109,,robert.gave@vta.org,3331 N First St,San Jose,CA,95134    ,,,/10915/10915/10915/10915/10915/10915/10915,,,,
Multiple,6,37.4008333333333,-121.940277777778,WPUC406,3331 NORTH FIRST ST,SAN JOSE,SANTA CLARA,CA,5,16.0769,21.9827,Building,Santa Clara Valley Transportation Authority,,,4083212300,4089559754,james.unites@vta.org,3331 N First St,SAN JOSE,CA,951341906,,James B Unites,Santa Clara Valley Transportation Authority,Robert,Gave,4089524109,,robert.gave@vta.org,3331 N First St,San Jose,CA,951341906,,,/491.4125/491.6625/492.0125,,,,
Multiple,6,37.4008333333333,-121.940277777778,WPTH543,3331 NORTH FIRST STREET,SAN JOSE,SANTA CLARA,CA,5,16.0769,21.9827,Building,Santa Clara Valley Transportation Authority,,,4089524111,4083217580,richard.bertalan@vta.org,3331 North First Street,SAN JOSE,CA,95134    ,,Richard Bertalan,Santa Clara Valley Transportation Authority,Richard,Bertalan,4089524111,4083217580,richard.bertalan@vta.org,3331 North First Street,San Jose,CA,95134    ,,,/485.5875/491.6375/491.6875/491.8375/492.0375/491.4125/491.6625/492.0125,,,,
Multiple,6,37.4008333333333,-121.940555555556,WPXT605,3331 NORTH FIRST ST,SAN JOSE,SANTA CLARA,CA,4,80.0564,98.1019,Pole,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334483,,12502 Sunrise Valley Drive,Reston,VA,20191    ,,,/852.5375,,,,
Multiple,7,37.3791111111111,-121.921888888889,WPIP825,2150 N 1ST ST,SAN JOSE,SANTA CLARA,CA,3.4,86.9465,106.9606,Building,USA Mobility Wireless Inc,,,9728010000,9728011699,fcclicenseadmin@usamobility.com,3000 Technology Dr #400,Plano,TX,75074    ,,FCC Licensing Specialist,,,,,,,,,,,,,/929.4625,,,,
Multiple,7,37.3791111111111,-121.921888888889,WPDG727,2150 NORTH FIRST STREET,SAN JOSE,SANTA CLARA,CA,11,131.24,144.364,Building w/Antenna,Arch Wireless License Co LLC,,,5088706700,5088708002,jmullin@arch.com,1800 West Park Drive,Westborough,MA,01581    ,,Jospeh F Mullin,Wilkinson Barker Knauer LLP,Kathryn,Zachem,2027834141,2027835851,kzachem@wbklaw.com,2300 N Street NW 7th Floor,Washington,DC,20037    ,,,/929.4375,,,,
Multiple,7,37.3791111111111,-121.921888888889,WPIQ314,2150 N 1ST ST,SAN JOSE,SANTA CLARA,CA,11,85.306,104.992,Building,Paging Network of America Inc,,,9728010304,9728010330,,1500 International Pkwy Suite 300,RICHARDSON,TX,75081    ,,Compliance Manager  Donna Comer,Paging Network of America Inc,DONNA,COMER,9728010304,9728010330,,1500 International Pkwy Suite 300,RICHARDSON,TX,75081    ,,,/929.5875,,,,
Multiple,7,37.3791111111111,-121.921888888889,WPHB552,2150 N FIRST ST,SAN JOSE,SANTA CLARA,CA,11,131.24,144.364,Building w/Antenna,USA Mobility Wireless Inc,,,9728010000,9728011699,fcclicenseadmin@usamobility.com,3000 Technology Dr #400,Plano,TX,75074    ,,FCC Licensing Specialist,,,,,,,,,,,,,/929.1125,,,,
Multiple,7,37.3791111111111,-121.921888888889,WPAT269,2150 N FIRST ST,SAN JOSE,SANTA CLARA,CA,11,131.24,144.364,Building w/Antenna,PAGING NETWROK OF AMERICA INC,,,5088706700,5088981953,,1800 WEST PARK DRIVE SUITE 250,WESTBOROUGH,MA,01581    ,,JOSEPH F MULLIN,WILKINSON BARKER KNAUER LLP,KATHRYN,ZACHEM,2027834141,2027835851,KZACHEM@WBKQ.COM,2300 N STREET NW SUITE 700,WASHINGTON,DC,200371128,,,/929.5625,,,,
Multiple,7,37.3791111111111,-121.921888888889,WPDF910,2150 N FIRST STREET,SAN JOSE,SANTA CLARA,CA,3.4,86.9465,106.9606,Building w/Antenna,USA Mobility Wireless Inc,,,9728010000,9728011699,fcclicenseadmin@usamobility.com,3000 Technology Dr #400,Plano,TX,75074    ,,FCC Licensing Specialist,,,,,,,,,,,,,/929.6375,,,,
Multiple,7,37.3788333333333,-121.921888888889,WPLT863,,,SANTA CLARA,CA,,,,NA,MADGE NETWORKS,,,4089529211,4089550700,,2310 NORTH FIRST STREET,SAN JOSE,CA,951311011,,BART BIAGGI,SPECTRUM RESOURCES,,,,4082557910,,10525 MIRA VISTA RD,CUPERTINO,CA,950142707,,,/464.4625/469.4625,,,,
Multiple,8,37.4196666666667,-121.889388888889,WPPN305,990 AMES AVE,MILPITAS,SANTA CLARA,CA,15,72.182,121.397,Building,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334142,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334142,,2001 EDMUND HALLEY DRIVE,Reston,VA,20191    ,,,/852.7125,,,,
Multiple,8,37.4196666666667,-121.889388888889,WPPR408,990 AMES AVE,MILPITAS,SANTA CLARA,CA,15,72.182,121.397,Building,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS VARESA0209,Reston,VA,20196    ,,,/858.8125/859.8125,,,,
Multiple,9,37.3797222222222,-121.940138888889,WQPE620,,SANTA CLARA,SANTA CLARA,CA,9.1,63.9795,64.6357,Building,WiLine Spectrum Holdings LLC,,,6505259365,,,1164 Triton Drive,San Mateo,CA,94404    ,,Spectrum Admin,WiLine Spectrum Holdings LLC,,,6505259365,,,1164 Triton Drive,San Mateo,CA,94404    ,,,/3650,,,,
Multiple,9,37.3797222222222,-121.94,WPXS922,3100 DEL LA CRUZ BLVD,SANTA CLARA,SANTA CLARA,CA,8.2,51.8398,54.1365,Building,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS VARESA0209,Reston,VA,20196    ,,,/854.7875/856.7875/856.8125/858.7875/858.8125/859.8125,,,,
