Time,VS_CS_Erlang_RNC,VS_CSLoad_Erlang_Equiv_RNC,VS_PSLoad_Thruput_RNC,VS_R99PSLoad_DLThruput_RNC,VS_R99PSLoad_ULThruput_RNC,VS_HSDPAPSLoad_DLThruput_RNC,VS_HSUPAPSLoad_ULThruput_RNC,VS_RB_AMR_DL_RNC_custom,VS_RB_CS_Conv_DL_64_RNC
2014-07-28 23:30:00,89.211,214.872,118720.792,72.178,463.481,105370.119,12810.294,169.497,0.017
2014-07-29 00:00:00,67.530,127.556,98786.900,11.583,472.711,87755.239,10542.783,101.008,0.000
2014-07-29 00:30:00,36.681,85.661,75323.114,7.581,244.317,66838.847,8227.856,65.889,0.000
2014-07-29 01:00:00,30.670,63.197,62938.406,34.856,137.950,53553.806,9207.086,48.972,0.000
2014-07-29 01:30:00,13.109,42.028,47301.456,5.111,76.783,39786.158,7428.956,29.486,0.000
2014-07-29 02:00:00,17.721,31.197,38891.817,2.142,52.681,33985.281,4848.194,21.575,0.000
2014-07-29 02:30:00,7.870,17.292,30261.870,1.052,56.958,26840.852,3359.750,12.969,0.000
2014-07-29 03:00:00,7.336,17.494,24973.616,1.246,52.474,21622.901,3293.523,12.100,0.000
2014-07-29 03:30:00,4.560,15.181,18025.047,1.331,42.358,15157.800,2820.039,9.739,0.000
2014-07-29 04:00:00,4.091,12.183,19236.658,1.150,39.161,16646.958,2545.981,7.703,0.000
2014-07-29 04:30:00,4.719,12.506,15908.814,2.256,41.092,13507.786,2354.239,7.914,0.000
2014-07-29 05:00:00,5.970,15.531,13798.944,0.672,43.317,11153.114,2598.422,11.017,0.000
2014-07-29 05:30:00,6.136,19.742,20595.817,0.844,100.867,17099.086,3391.681,14.869,0.000
2014-07-29 06:00:00,15.210,39.478,26618.442,7.894,104.011,22410.642,4091.575,28.694,0.017
2014-07-29 06:30:00,24.167,71.208,56562.444,16.222,183.261,49395.369,6962.844,50.600,0.000
2014-07-29 07:00:00,46.326,136.894,79775.117,22.669,354.750,69194.344,10198.597,100.360,0.014
2014-07-29 07:30:00,85.354,237.686,107610.431,36.514,801.589,92812.256,13955.356,178.067,0.006
2014-07-29 08:00:00,133.647,374.569,120961.414,97.703,1544.300,101078.764,18235.747,278.160,0.003
2014-07-29 08:30:00,198.526,538.650,134195.514,51.492,1672.536,112821.200,19645.403,402.534,0.014
2014-07-29 09:00:00,259.337,704.967,126662.539,36.886,1409.825,106246.025,18964.794,538.347,0.175
2014-07-29 09:30:00,301.996,806.289,126647.806,45.622,1537.711,106575.325,18484.267,613.589,0.017
2014-07-29 10:00:00,327.120,872.500,128980.697,68.433,1683.975,107607.669,19615.714,668.350,0.011
2014-07-29 10:30:00,342.154,897.331,130120.192,66.528,1659.414,108681.297,19707.875,692.072,0.208
2014-07-29 11:00:00,347.392,889.031,131848.431,93.903,1754.333,110180.053,19815.114,684.703,0.033
2014-07-29 11:30:00,315.788,796.842,126362.564,280.797,1765.139,105284.619,19027.133,620.853,0.003
2014-07-29 12:00:00,275.185,707.136,147604.325,185.147,2362.683,124037.553,21013.631,549.411,0.006
2014-07-29 12:30:00,232.069,602.158,171675.569,376.753,2278.161,146494.036,22521.697,463.497,0.000
2014-07-29 13:00:00,200.143,518.642,142942.850,33.956,1700.711,121516.478,19686.881,398.289,0.050
2014-07-29 13:30:00,214.448,558.817,126978.447,78.706,1511.497,106293.431,19089.753,426.400,0.047
2014-07-29 14:00:00,250.188,658.447,137596.189,77.053,1517.478,116541.100,19455.586,509.786,0.014
2014-07-29 14:30:00,288.860,748.658,139447.789,234.942,1708.078,116960.847,20538.967,580.372,0.033
2014-07-29 15:00:00,294.450,770.853,137653.317,135.947,1653.911,115670.367,20188.150,597.861,0.000
2014-07-29 15:30:00,307.256,815.942,128888.800,114.406,1549.042,107164.583,20055.750,630.875,0.031
2014-07-29 16:00:00,346.153,892.014,137541.072,104.986,1558.906,116022.900,19849.289,691.247,0.319
2014-07-29 16:30:00,334.803,874.000,146966.700,64.508,1648.994,125288.611,19959.556,674.369,0.000
2014-07-29 17:00:00,340.906,879.703,143628.297,114.128,1686.789,121523.150,20299.222,673.261,0.083
2014-07-29 17:30:00,357.793,949.653,137316.108,189.039,2159.097,116202.117,18760.675,718.097,0.056
2014-07-29 18:00:00,332.389,891.427,149596.939,197.031,2297.636,126866.950,20230.247,669.531,0.044
2014-07-29 18:30:00,301.991,807.164,136333.736,60.414,1567.644,116728.919,17971.786,605.614,0.067
2014-07-29 19:00:00,285.961,756.758,126580.367,23.539,1107.647,108990.906,16453.425,581.161,0.103
2014-07-29 19:30:00,275.200,718.597,126507.478,31.078,964.264,108748.528,16758.781,557.308,0.006
2014-07-29 20:00:00,290.583,807.792,115307.467,44.900,1129.033,98442.981,15685.614,620.594,0.006
2014-07-29 20:30:00,307.614,818.233,121670.794,55.658,869.992,105062.000,15678.408,625.500,0.003
2014-07-29 21:00:00,296.462,781.036,119486.481,22.081,1041.847,103173.167,15244.664,598.869,0.000
2014-07-29 21:30:00,265.792,739.006,110954.458,30.781,1230.117,94985.469,14703.419,556.022,0.003
2014-07-29 22:00:00,243.945,634.264,118219.683,47.722,1290.644,101475.989,15400.483,477.597,0.003
2014-07-29 22:30:00,202.989,498.919,112646.575,72.300,1085.372,97083.264,14400.950,375.536,0.000
2014-07-29 23:00:00,155.592,360.864,128689.517,23.597,734.356,114202.406,13724.475,274.781,0.000
2014-07-29 23:30:00,93.072,202.028,114397.275,11.267,514.769,102389.144,11477.544,156.461,0.000
2014-07-30 00:00:00,56.707,126.783,95331.031,38.764,621.081,85259.556,9407.006,94.922,0.003
2014-07-30 00:30:00,37.702,76.792,68795.997,6.983,270.564,61075.397,7438.539,58.894,0.000
2014-07-30 01:00:00,22.308,52.852,58494.522,7.078,168.047,52694.042,5620.853,40.059,0.000
2014-07-30 01:30:00,16.777,30.372,46213.478,4.689,128.275,41545.933,4530.108,22.281,0.000
2014-07-30 02:00:00,9.931,21.814,38885.900,0.911,174.508,34782.167,3924.594,15.922,0.000
2014-07-30 02:30:00,7.902,20.944,34568.864,1.139,88.367,31443.453,3032.192,15.261,0.000
2014-07-30 03:00:00,6.440,16.703,29157.794,0.842,90.442,26483.350,2579.525,11.194,0.000
2014-07-30 03:30:00,3.295,9.636,22423.497,0.931,81.403,20279.444,2058.178,6.531,0.000
2014-07-30 04:00:00,2.922,8.847,15813.764,1.108,44.978,13972.958,1791.239,7.069,0.000
2014-07-30 04:30:00,4.203,10.669,15350.186,0.589,32.597,13293.419,2020.061,7.608,0.000
2014-07-30 05:00:00,5.370,16.644,12614.400,0.883,61.164,10396.342,2152.508,11.789,0.000
2014-07-30 05:30:00,9.344,23.525,19808.575,3.964,74.436,16781.925,2944.736,17.964,0.000
2014-07-30 06:00:00,15.579,44.375,26473.553,31.989,109.875,22227.336,4099.769,35.058,0.000
2014-07-30 06:30:00,28.451,75.144,47778.953,40.914,201.658,41553.586,5978.008,57.161,0.000
2014-07-30 07:00:00,45.769,123.461,69337.581,69.436,370.017,59490.472,9402.942,91.177,0.003
2014-07-30 07:30:00,78.739,228.310,99797.947,99.208,881.456,85793.328,13019.044,169.176,0.028
2014-07-30 08:00:00,132.796,371.683,122633.142,77.928,1628.739,104797.450,16124.069,277.331,0.000
2014-07-30 08:30:00,200.380,543.022,127390.842,110.375,1812.981,107519.597,17942.836,409.939,0.006
2014-07-30 09:00:00,255.961,689.858,132110.075,109.483,1662.103,111981.422,18352.125,525.228,0.022
2014-07-30 09:30:00,299.888,795.394,137347.094,119.131,1744.119,116235.547,19243.272,610.711,0.008
2014-07-30 10:00:00,323.723,872.492,141832.733,124.303,2267.597,118821.419,20614.553,667.347,0.008
2014-07-30 10:30:00,325.322,851.203,157552.833,244.008,2235.014,133019.386,22049.542,647.986,0.044
2014-07-30 11:00:00,332.756,865.603,160437.308,211.575,2176.044,136828.856,21215.789,671.861,0.014
