N, W, Date, Time, Tx0, Tx1, Tx2, Tx3, Tx4, Tx5, Tx6, Tx7, Tx8, Tx9, Tx10, Tx11, Tx12, Tx13, Tx14, Tx15, Tx16, Tx17, Tx18, Tx19, Tx20, Tx21, Tx22, Tx23, Tx24, Tx25, Tx26, Tx27, Tx28, Tx29, Tx30, Tx31, Tx32, Tx33, Tx34, Tx35, Tx36, Tx37, Tx38, Tx39, Tx40, Tx41, Tx42, Tx43, Tx44, Tx45, Tx46, Tx47, Tx48, Tx49, Tx50, Tx51, Tx52, Tx53, Tx54, Tx55, Tx56, Tx57, Tx58, Tx59, Tx60, Tx61, Tx62, Tx63, Tx64, Tx65, Tx66, Tx67, Tx68, Tx69, Tx70, Tx71, Tx72, Tx73, Tx74, Tx75, Tx76, Tx77, Tx78, Tx79, Tx80, Tx81, Tx82, Tx83, Tx84, Tx85, Tx86, Tx87, Tx88, Tx89, Tx90, Tx91, Tx92, Tx93, Tx94, Tx95, Tx96, Tx97, Tx98, Tx99
40.00771, 105.26402, 8/10/2011, 1:05 PM, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -7.50, -199.99, -7.50, -8.50, -7.50, -7.50, -7.50, -199.99, -199.99, -7.50, -199.99, -8.50, -5.50, -199.99, -199.99, -5.50, -5.50, -199.99, -199.99, -199.99, -199.99, -6.50, -199.99, -6.50, -6.50, -6.50, -199.99, -199.99, -199.99, -199.99, -5.50, -199.99, -5.50, -5.50, -5.50, -199.99, -5.50, -0.50, -1.00, 0.50, -0.50, -0.50, -0.50, -1.50, -0.50, -0.50, -0.50, 0.50, 0.50, 1.50, 0.50, 0.00, 0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -1.50, -0.50, -0.50, -0.50, -0.50, 0.50, -2.50, -0.50, -0.50, -0.50, -1.60, -1.60, -0.50, -0.50, -0.50, -0.50, -0.50
40.00779, 105.26594, 8/10/2011, 1:14 PM, -36.50, -36.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -38.50, -35.50, -35.50, -35.50, -36.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -36.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -20.50, -20.50, -20.50, -20.50, -20.50, -20.50, -20.50, -20.50, -20.50, -20.00, -20.00, -20.50, -21.50, -21.50, -21.50, -21.00, -21.50, -21.50, -21.50, -21.50, -20.50, -20.50, -20.00, -20.50, -20.00, -20.50, -21.50, -21.00, -20.00, -19.50, -20.50, -199.99, -21.50, -21.50, -22.50, -22.50, -22.50, -22.50, -22.00, -22.50, -22.50, -22.50, -21.50, -21.50, -21.50, -21.50, -21.50, -21.50, -21.50, -20.00, -20.50, -20.50, -20.50, -20.00, -20.50, -20.50, -199.99, -22.50
40.00772, 105.26603, 8/10/2011, 1:15 PM, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -36.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -37.50, -37.50, -37.50, -199.99, -199.99, -199.99, -199.99, -199.99, -33.50, -199.99, -199.99, -36.50, -199.99, -34.50, -199.99, -35.50, -35.50, -199.99, -199.99, -32.50, -199.99, -199.99, -199.99, -199.99, -199.99, -18.70, -18.60, -16.50, -15.50, -15.50, -16.50, -16.50, -18.60, -18.50, -18.50, -18.50, -18.50, -20.50, -20.50, -21.70, -20.50, -19.50, -19.50, -21.60, -19.50, -19.50, -199.99, -199.99, -18.50, -18.50, -18.50, -18.50, -19.50, -20.50, -19.50, -21.50, -20.50, -199.99, -20.50, -20.50, -20.50, -20.50, -20.50, -199.99, -20.50, -20.50, -20.50, -199.99, -22.60, -20.50, -21.70, -199.99, -19.50, -19.50, -18.50, -18.50, -18.50, -18.50, -18.50, -19.50, -19.50, -19.50, -19.50
40.00771, 105.26590, 8/10/2011, 1:17 PM, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -36.50, -199.99, -38.50, -37.50, -34.50, -34.50, -199.99, -199.99, -199.99, -199.99, -199.99, -36.50, -33.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -37.50, -34.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -33.50, -37.50, -199.99, -199.99, -199.99, -199.99, -22.50, -22.50, -21.00, -21.50, -21.00, -21.50, -21.50, -21.50, -21.00, -21.50, -21.50, -21.50, -21.50, -21.50, -21.50, -22.50, -22.50, -22.50, -21.50, -21.50, -21.00, -20.50, -20.50, -19.50, -18.50, -19.50, -20.50, -20.50, -20.00, -22.50, -21.50, -21.50, -22.50, -22.50, -22.50, -21.50, -21.50, -21.50, -22.50, -22.50, -21.50, -20.50, -21.50, -20.50, -20.50, -20.00, -21.50, -21.50, -21.50, -22.50, -22.50, -23.50, -22.50, -21.50, -21.50, -20.50, -20.50
40.00783, 105.26682, 8/10/2011, 1:24 PM, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -36.50, -199.99, -199.99, -199.99, -199.99, -39.50, -35.50, -199.99, -199.99, -199.99, -39.50, -39.50, -199.99, -37.50, -29.50, -37.50, -199.99, -199.99, -33.50, -26.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -36.50, -39.50, -25.80, -199.99, -199.99, -199.99, -18.50, -16.50, -15.50, -14.50, -13.50, -16.50, -18.20, -19.20, -18.20, -15.50, -15.50, -16.80, -15.50, -15.50, -16.80, -15.50, -16.50, -16.80, -15.80, -15.50, -17.80, -16.50, -17.50, -15.50, -15.50, -16.50, -15.50, -15.50, -15.50, -14.50, -14.50, -16.20, -14.50, -15.50, -14.50, -17.20, -199.99, -15.50, -15.50, -15.50, -199.99, -15.50, -15.50, -16.20, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -16.20, -14.50, -14.50, -14.50
40.00783, 105.26765, 8/10/2011, 1:27 PM, -199.99, -199.99, -199.99, -44.00, -44.00, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -44.00, -44.00, -199.99, -44.00, -38.50, -199.99, -199.99, -199.99, -199.99, -44.00, -199.99, -44.00, -199.99, -199.99, -199.99, -199.99, -199.99, -44.00, -199.99, -199.99, -44.00, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -44.00, -33.50, -34.00, -34.00, -34.00, -35.50, -35.50, -35.00, -36.00, -36.00, -36.00, -36.50, -36.50, -36.50, -36.50, -36.00, -36.50, -36.00, -36.00, -36.00, -36.50, -36.00, -36.00, -36.00, -36.00, -36.00, -36.50, -36.00, -36.50, -36.00, -36.00, -35.50, -35.50, -35.50, -35.00, -35.50, -36.50, -36.50, -36.50, -36.50, -36.50, -35.50, -35.50, -35.50, -35.00, -36.50, -36.50, -36.50, -36.00, -35.50, -35.50, -35.50, -35.50, -35.50, -36.50, -36.50, -36.00
40.00793, 105.26882, 8/10/2011, 1:32 PM, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -25.80, -199.99, -199.99, -199.99, -33.50, -33.50, -28.50, -28.50, -33.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -25.50, -199.99, -28.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -20.50, -199.99, -28.50, -199.99, -199.99, -199.99, -20.50, -21.50, -20.50, -20.50, -19.50, -19.50, -19.50, -19.50, -20.50, -20.50, -21.50, -21.50, -21.50, -21.50, -21.50, -20.50, -20.50, -19.50, -20.50, -20.50, -20.50, -20.50, -21.50, -21.50, -21.50, -21.50, -22.50, -22.50, -22.50, -21.50, -21.50, -21.50, -21.50, -21.50, -21.50, -21.50, -21.50, -21.50, -20.50, -20.50, -20.50, -20.50, -20.50, -20.50, -21.50, -21.50, -20.50, -20.50, -20.50, -20.50, -20.50, -20.50, -20.50, -21.50, -21.50, -20.50, -20.50
40.00779, 105.26881, 8/10/2011, 1:34 PM, -33.50, -33.50, -199.99, -30.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -29.50, -199.99, -199.99, -199.99, -199.99, -33.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -34.50, -34.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -29.50, -199.99, -29.50, -199.99, -29.50, -14.50, -14.50, -15.50, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -13.50, -13.50, -13.50, -14.50, -14.50, -14.50, -16.50, -15.50, -15.50, -13.50, -13.50, -13.50, -13.50, -13.50, -14.50, -14.50, -14.50, -15.50, -15.50, -15.50, -15.50, -15.50, -15.50, -15.50, -15.50, -15.50, -15.50, -15.50, -15.50, -15.50, -14.50, -15.50, -14.50, -14.50, -14.50, -14.50, -14.50, -14.50, -15.50, -15.50
40.00792, 105.26879, 8/10/2011, 1:36 PM, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -33.50, -199.99, -33.50, -30.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -33.50, -199.99, -199.99, -199.99, -30.50, -30.50, -33.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -27.80, -31.50, -31.50, -16.50, -16.50, -16.50, -16.50, -15.50, -16.50, -16.50, -15.50, -17.50, -17.50, -17.50, -18.50, -18.50, -18.50, -16.50, -16.50, -16.50, -18.50, -17.50, -17.50, -17.50, -17.50, -17.50, -17.50, -16.50, -16.50, -17.50, -17.50, -16.50, -16.50, -16.50, -16.50, -16.50, -16.50, -16.50, -16.50, -17.50, -16.50, -16.50, -17.50, -17.50, -17.50, -17.50, -17.50, -16.50, -17.50, -16.50, -16.50, -16.50, -16.50, -16.50, -17.50, -16.50, -17.50, -17.00, -15.50, -15.50
40.00764, 105.27177, 8/10/2011, 1:46 PM, -10.80, -19.50, -18.50, -19.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -9.00, -7.70, -18.50, -19.50, -19.50, -19.50, -199.99, -20.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -18.50, -10.50, -18.50, -16.80, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -12.80, -12.80, -20.50, -21.50, -20.50, -199.99, -199.99, -199.99, -5.50, -4.50, -5.50, -6.50, -5.50, -6.50, -6.50, -6.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -4.50, -4.50, -4.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -6.50, -6.50, -5.50, -5.50, -6.50, -6.50, -6.50, -6.50, -6.50, -6.50, -5.50, -5.50, -5.50, -4.50, -4.50, -4.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50
